Time,GPS,Longitude,Latitude,Accelerometer,X,Y,Z,2A/SOC/%,2B/Battery Energy/kWh,2E/Total Current/A,2F/Total Voltage/V,2G/Lowest Battery Temp/F,2H/Highest Battery Temp/F,2I/Speed/mph,2J/Motor RPM/rpm,2K/Total Mileage/miles,2L/Range/miles,2M/Left Charge Status/bit,2N/Right Charge Status/bit,2T/WAVE Status/bit,2U/High Voltage/bit,2Z/Motor Voltage/V
2017-06-13 00:37:36,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 00:38:45,A,12.347250,-343.149677,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:40:33,A,12.347250,-343.149550,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:41:45,A,12.347250,-343.149682,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:43:33,A,12.347250,-343.149548,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:44:45,A,12.347250,-343.149682,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:46:33,A,12.347250,-343.149550,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:47:36,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 00:47:45,A,12.347250,-343.149680,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:49:33,A,12.347248,-343.149548,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:50:45,A,12.347250,-343.149680,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:52:33,A,12.347248,-343.149548,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:53:45,A,12.347250,-343.149682,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:55:33,A,12.347248,-343.149552,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 00:56:45,A,12.347250,-343.149683,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,0.2,575.0,75.2,86.0,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,458.0
2017-06-13 00:57:36,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 00:58:33,A,12.347247,-343.149550,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,4.0,562.0,69.8,80.6,0.0,65.3,0.0,149.1,0.0,1.0,0.0,0.0,3.0
2017-06-13 00:59:45,A,12.347250,-343.149687,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,5.6,562.0,69.8,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,5.0
2017-06-13 01:01:33,A,12.347247,-343.149553,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.9,561.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:02:45,A,12.347250,-343.149687,F ,0.02 ,0.02 ,0.02 ,100.0,264.6,5.6,562.0,69.8,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,5.0
2017-06-13 01:05:45,A,12.347250,-343.149688,F ,0.02 ,0.02 ,0.02 ,99.9,264.3,30.5,560.0,69.8,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,1.0,550.0
2017-06-13 01:07:33,A,12.347247,-343.149555,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.8,561.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:07:36,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 01:08:45,A,12.347285,-343.150985,F ,0.02 ,0.02 ,0.02 ,99.6,263.5,11.3,559.0,69.8,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,1.0,550.0
2017-06-13 01:10:33,A,12.347247,-343.149555,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.5,561.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:11:45,A,12.347327,-343.150592,F ,0.02 ,0.02 ,0.02 ,99.3,262.7,11.3,557.0,69.8,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,1.0,545.0
2017-06-13 01:13:33,A,12.347245,-343.149553,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.5,560.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:13:33,A,12.347245,-343.149553,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.1,575.0,71.6,84.2,0.0,65.3,0.0,149.1,3.0,3.0,0.0,0.0,380.0
2017-06-13 01:16:33,A,12.347245,-343.149552,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.3,560.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:17:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 01:17:45,A,12.347253,-343.149753,F ,0.02 ,0.02 ,0.02 ,98.8,261.4,6.9,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,1.0,544.0
2017-06-13 01:19:33,A,12.347245,-343.149562,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.3,560.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:20:45,A,12.347253,-343.149750,F ,0.02 ,0.02 ,0.02 ,98.8,261.4,3.9,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,7.0
2017-06-13 01:22:33,A,12.347245,-343.149563,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.3,560.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:23:45,A,12.347253,-343.149745,F ,0.02 ,0.02 ,0.02 ,98.8,261.4,3.8,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:25:33,A,12.347245,-343.149577,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.4,560.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:26:45,A,12.347252,-343.149740,F ,0.02 ,0.02 ,0.02 ,98.8,261.4,3.4,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:27:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 01:28:33,A,12.347243,-343.149580,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,560.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:29:45,A,12.347252,-343.149735,F ,0.02 ,0.02 ,0.02 ,98.7,261.1,3.5,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:31:33,A,12.347245,-343.149577,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.3,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:32:45,A,12.347252,-343.149728,F ,0.02 ,0.02 ,0.02 ,98.7,261.1,3.0,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:34:33,A,12.347245,-343.149573,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:35:45,A,12.347252,-343.149722,F ,0.02 ,0.02 ,0.02 ,98.7,261.1,2.9,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:37:33,A,12.347245,-343.149572,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:37:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 01:38:45,A,12.347252,-343.149713,F ,0.02 ,0.02 ,0.02 ,98.7,261.1,2.9,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:40:33,A,12.347245,-343.149568,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:41:45,A,12.347250,-343.149708,F ,0.02 ,0.02 ,0.02 ,98.7,261.1,2.7,555.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:43:33,A,12.347247,-343.149563,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.1,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:44:45,A,12.347252,-343.149703,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.5,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:46:33,A,12.347247,-343.149563,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.1,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:47:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 01:47:45,A,12.347252,-343.149700,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.7,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:49:33,A,12.347247,-343.149565,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:50:45,A,12.347252,-343.149695,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.4,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:52:33,A,12.347247,-343.149562,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:53:45,A,12.347252,-343.149693,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.3,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:55:33,A,12.347247,-343.149567,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,559.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 01:56:45,A,12.347252,-343.149687,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.6,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 01:57:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.9,626.0,69.8,78.8,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 01:58:33,A,12.347247,-343.149563,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.1,558.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 01:59:45,A,12.347252,-343.149682,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.6,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:01:33,A,12.347247,-343.149557,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,558.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:02:45,A,12.347252,-343.149678,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.2,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:04:33,A,12.347247,-343.149555,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.9,558.0,69.8,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:05:45,A,12.347252,-343.149677,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.5,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:07:33,A,12.347247,-343.149550,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,558.0,68.0,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 02:07:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,1.1,627.0,69.8,77.0,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 02:08:45,A,12.347252,-343.149678,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.7,554.0,69.8,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,5.0
2017-06-13 02:10:33,A,12.347247,-343.149547,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,558.0,68.0,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:11:45,A,12.347252,-343.149680,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.3,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:13:33,A,12.347247,-343.149542,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,558.0,68.0,80.6,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:14:45,A,12.347252,-343.149680,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.3,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,5.0
2017-06-13 02:16:33,A,12.347247,-343.149537,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.1,558.0,68.0,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:17:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,1.1,626.0,68.0,77.0,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 02:17:45,A,12.347252,-343.149675,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.2,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,5.0
2017-06-13 02:19:33,A,12.347247,-343.149537,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,0.9,558.0,68.0,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 02:20:45,A,12.347252,-343.149675,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.3,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:22:33,A,12.347247,-343.149533,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,558.0,68.0,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:23:45,A,12.347252,-343.149675,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.2,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:25:33,A,12.347247,-343.149532,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.0,558.0,68.0,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:26:45,A,12.347252,-343.149673,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.0,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,5.0
2017-06-13 02:27:37,V,N/A,N/A,F ,0.02 ,0.02 ,0.02 ,98.8,266.7,0.8,626.0,68.0,77.0,0.0,0.0,3973.7,152.2,0.0,0.0,0.0,0.0,0.0
2017-06-13 02:28:33,A,12.347248,-343.149533,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.2,558.0,68.0,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,1.0
2017-06-13 02:29:45,A,12.347252,-343.149673,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.3,554.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
2017-06-13 02:31:33,A,12.347248,-343.149540,F ,0.02 ,0.02 ,0.02 ,100.0,216.0,1.1,557.0,68.0,78.8,0.0,0.0,0.0,149.1,10.0,10.0,0.0,0.0,2.0
2017-06-13 02:32:45,A,12.347252,-343.149675,F ,0.02 ,0.02 ,0.02 ,98.6,260.8,2.3,553.0,68.0,78.8,0.0,0.0,0.0,147.6,10.0,10.0,0.0,0.0,4.0
